accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_0027SV1.2,B.D.3,27/01/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14590,07/11/2018,MH594403.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.959400867,,,MH594403.1,,,Kilifi/HH/3503/27-Jan-2010,0,0
PP_0027SWZ.2,B.D.3,17/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14993,07/11/2018,MH594404.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.984955985,,,MH594404.1,,,Kilifi/HH/3505/17-Feb-2010,0,0
PP_0027SXX.2,B.D.3,06/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,12523,07/11/2018,MH594405.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.971488635,,,MH594405.1,,,Kilifi/HH/3508/06-Feb-2010,0,0
PP_0027SZT.2,B.D.3,30/01/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14698,07/11/2018,MH594407.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.984693207,,,MH594407.1,,,Kilifi/HH/3508/30-Jan-2010,0,0
PP_0027T0R.2,B.D.3,01/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14995,07/11/2018,MH594408.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594408.1,,,Kilifi/HH/3801/01-Mar-2010,0,0
PP_0027T2M.2,B.D.3,23/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15036,07/11/2018,MH594410.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594410.1,,,Kilifi/HH/3802/23-Feb-2010,0,0
PP_0027T3K.2,B.D.3,14/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14995,07/11/2018,MH594411.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594411.1,,,Kilifi/HH/3803/14-Feb-2010,0,0
PP_0027T4H.2,B.D.3,16/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14995,07/11/2018,MH594412.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594412.1,,,Kilifi/HH/3803/16-Feb-2010,0,0
PP_0027T6D.2,B.D.3,23/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14997,07/11/2018,MH594414.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594414.1,,,Kilifi/HH/3804/23-Feb-2010,0,0
PP_0027T7B.2,B.D.3,26/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14962,07/11/2018,MH594415.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH594415.1,,,Kilifi/HH/3804/26-Feb-2010,0,0
PP_0027T97.2,B.D.3,19/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14995,07/11/2018,MH594417.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594417.1,,,Kilifi/HH/3805/19-Feb-2010,0,0
PP_0027TA5.2,B.D.3,19/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15016,07/11/2018,MH594418.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594418.1,,,Kilifi/HH/3806/19-Feb-2010,0,0
PP_0027TB3.2,B.D.3,23/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14995,07/11/2018,MH594419.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594419.1,,,Kilifi/HH/3806/23-Feb-2010,0,0
PP_0027TC1.2,B.D.3,01/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14916,07/11/2018,MH594420.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.979897517,,,MH594420.1,,,Kilifi/HH/3807/01-Mar-2010,0,0
PP_0027TDZ.2,B.D.3,08/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15017,07/11/2018,MH594421.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594421.1,,,Kilifi/HH/3808/08-Mar-2010,0,0
PP_0027TEX.2,B.D.3,06/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15023,07/11/2018,MH594422.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594422.1,,,Kilifi/HH/3810/06-Mar-2010,0,0
PP_0027THQ.2,B.D,06/05/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14959,07/11/2018,MH594425.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982722376,,,MH594425.1,,,Kilifi/HH/4101/06-May-2010,0,0
PP_0027TLJ.2,B.D,22/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14977,07/11/2018,MH594428.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.983904875,,,MH594428.1,,,Kilifi/HH/4102/22-Apr-2010,0,0
PP_0027TMG.2,B.D.2,23/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14976,07/11/2018,MH594429.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.983904875,,,MH594429.1,,,Kilifi/HH/4108/23-Mar-2010,0,0
PP_0027TPC.2,B.D.1,09/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14968,07/11/2018,MH594431.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.983313625,,,MH594431.1,,,Kilifi/HH/4201/09-Feb-2010,0,0
PP_0027TS6.2,B.D.1,20/01/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,12778,07/11/2018,MH594434.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.981211405,,,MH594434.1,,,Kilifi/HH/4201/20-Jan-2010,0,0
PP_0027TT4.2,B.D.3,15/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594435.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985021679,,,MH594435.1,,,Kilifi/HH/4202/15-Mar-2010,0,0
PP_0027TU2.2,B.D,03/05/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14977,07/11/2018,MH594436.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.983904875,,,MH594436.1,,,Kilifi/HH/4501/03-May-2010,0,0
PP_0027TV0.2,B.D,05/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15037,07/11/2018,MH594437.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594437.1,,,Kilifi/HH/4501/05-Apr-2010,0,0
PP_0027U1N.2,B.D.2,01/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14974,07/11/2018,MH594443.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.983773486,,,MH594443.1,,,Kilifi/HH/4902/01-Apr-2010,0,0
PP_0027U2L.2,B.D.2,08/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14992,07/11/2018,MH594444.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.984955985,,,MH594444.1,,,Kilifi/HH/4902/08-Apr-2010,0,0
PP_0027U3J.2,B.D.1,09/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14950,07/11/2018,MH594445.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982131126,,,MH594445.1,,,Kilifi/HH/5101/09-Mar-2010,0,0
PP_0027U4G.2,B.D.1,27/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15036,07/11/2018,MH594446.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594446.1,,,Kilifi/HH/5103/27-Feb-2010,0,0
PP_0027U5E.2,B.D.1,24/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,15037,07/11/2018,MH594447.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594447.1,,,Kilifi/HH/5104/24-Feb-2010,0,0
PP_0027U6C.2,B.D.1,27/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594448.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985021679,,,MH594448.1,,,Kilifi/HH/5104/27-Feb-2010,0,0
PP_0027U88.2,B.D.1,27/02/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14996,07/11/2018,MH594450.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985153068,,,MH594450.1,,,Kilifi/HH/5107/27-Feb-2010,0,0
PP_0027U96.2,B.D,15/05/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594451.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594451.1,,,Kilifi/HH/5710/15-May-2010,0,0
PP_0027UA4.2,B.D.2,06/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594452.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594452.1,,,Kilifi/HH/601/06-Apr-2010,0,0
PP_0027UB2.2,B.D.2,09/04/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594453.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594453.1,,,Kilifi/HH/601/09-Apr-2010,0,0
PP_0027UDY.2,B.D.2,11/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594455.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594455.1,,,Kilifi/HH/601/11-Mar-2010,0,0
PP_0027UJM.2,B.D.2,11/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594460.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594460.1,,,Kilifi/HH/603/11-Mar-2010,0,0
PP_0027UKK.2,B.D.2,14/03/2010,Kenya,,"Agoti, C. N.; Phan, M. V. T.; Munywoki, P. K.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, K.; Cotten, M.; Nokes, D. J.","KEMRI Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14994,07/11/2018,MH594461.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985087374,,,MH594461.1,,,Kilifi/HH/603/14-Mar-2010,0,0
PP_0027WDW.1,B.D,2013,Uganda,,"Ramesh, A.; Nakielny, S.; Hsu, J.; Kyohere, M.; Byaruhanga, O.; de Bourcy, C.; Egger, R.; Dimitrov, B.; Juan, Y.-F.; Sheu, J.; Wang, J.; Kalantar, K.; Langelier, C.; Ruel, T.; Mpimbaza, A.; Wilson, M.; Rosenthal, P.; DeRisi, J.","University of California San Francisco, Neurology",Homo sapiens,15261,01/10/2018,MH685715.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.99894889,,,MH685715.1,,,E0-041,0,0
PP_0028452.2,B.D,06/06/2016,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760652.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760652.1,,,B/NSW/WM0369A/16,0,0
PP_0028460.2,B.D.4.1,07/07/2015,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760653.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760653.1,,,B/NSW/WM3045A/15,0,0
PP_002848W.2,B.D,15/06/2010,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14963,25/09/2018,MH760655.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760655.1,,,B/NSW/WM2909A/10,0,0
PP_00284AS.2,B.D,05/07/2010,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760657.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760657.1,,,B/NSW/WM3504A/10,0,0
PP_00284CN.2,B.D.4,23/09/2011,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760659.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760659.1,,,B/NSW/WM1260A/11,0,0
PP_00284DL.2,B.D.4,02/07/2012,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760660.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760660.1,,,B/NSW/WM1978A/12,0,0
PP_00284EJ.2,B.D.4,05/07/2012,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760661.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760661.1,,,B/NSW/WM3687E/12,0,0
PP_00284FG.2,B.D.1,07/07/2012,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760662.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760662.1,,,B/NSW/WM2061A/12,0,0
PP_00284GE.2,B.D.4,02/07/2012,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760663.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760663.1,,,B/NSW/WM4582B/12,0,0
PP_00284HB.2,B.D.1,10/05/2012,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760664.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760664.1,,,B/NSW/WM2910A/12,0,0
PP_00284L5.2,B.D.4,27/05/2013,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760667.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760667.1,,,B/NSW/WM1227C/13,0,0
PP_00284XH.2,B.D.4.1,04/11/2016,Australia,,"Di Giallonardo, F.; Kok, J.; Fernandez, M.; Carter, I.; Geoghegan, J. L.; Dwyer, D. E.; Holmes, E. C.; Eden, J. S.; Eden, J.-S.","The University of Sydney, Marie Bashir Institute for Infectious Diseases and Biosecurity & Sydney Medical School",Homo sapiens,14962,25/09/2018,MH760678.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.982919459,,,MH760678.1,,,B/NSW/WM1924B/16,0,0
